Test,Points,Out Of,Notes
UnitTests,10,10,
Usage,1,1,PASSED CASE
Usage trailing args,1,1,PASSED CASE
No args,1,1,PASSED CASE
Garbage args,1,1,PASSED CASE
Empty file,0,1,FAILED CASE: DIFF
Input file doesn't exist,1,1,PASSED CASE
Outputting to file that exists,1,1,PASSED CASE
Outputting to file that doesnt exist,1,1,PASSED CASE
Sub encode simple,1,1,PASSED CASE
Sub encode awesome_c,2,2,PASSED CASE
Sub encode Sleepy Hollow,2,2,PASSED CASE
Sub decode simple,1,1,PASSED CASE
Sub decode awesome_c,2,2,PASSED CASE
Sub decode Sleepy Hollow,2,2,PASSED CASE
SQUA TEST encode bb,0.5,0.5,PASSED CASE
SQUA TEST encode bB,0.5,0.5,PASSED CASE
SQUA TEST encode Bb,0.5,0.5,PASSED CASE
SQUA TEST encode BB,0.5,0.5,PASSED CASE
SQUA TEST encode oo,0.5,0.5,PASSED CASE
SQUA TEST encode oO,0.5,0.5,PASSED CASE
SQUA TEST encode Oo,0.5,0.5,PASSED CASE
SQUA TEST encode OO,0.5,0.5,PASSED CASE
Tut encode simple,2,2,PASSED CASE
Tut encode awesome_c,3,3,PASSED CASE
Tut encode Sleepy Hollow,3,3,PASSED CASE
Tut decode simple,0,2,FAILED CASE: RETURN CODE
Tut decode awesome_c,0,3,FAILED CASE: RETURN CODE
Tut decode Sleepy Hollow,0,3,FAILED CASE: RETURN CODE
simple INFO,1,1,PASSED CASE
awesome_c INFO,1,1,PASSED CASE
Total,41.0,50,
